Company,Amount ($M),Date,HQ,Sector,Series,Source
https://www.faebeauty.in/,$2.00,24/11/2025,Mumbai,Personal Care,,https://entrackr.com/snippets/fae-beauty-raises-2-mn-led-by-spring-marketing-capital-10806635
https://www.blostem.com/,,25/11/2025,Delhi,Fintech,Pre-Series A,https://entrackr.com/snippets/blostem-raises-pre-series-a-funding-rainmatter-picks-up-9-stake-10811318
http://www.enerzi.co/,$2.00,26/11/2025,Belagavi,Climate Tech,Seed,https://entrackr.com/snippets/enerzi-raises-rs-165-cr-in-seed-round-led-by-capital-a-10813557
https://3evi.com/,$13.45,26/11/2025,Bengaluru,EV,Series A,https://entrackr.com/snippets/3ev-industries-raises-rs-120-cr-in-series-a-led-by-mahanagar-gas-10813666
https://miranatoys.com/in,$6.90,26/11/2025,Pune,Toys,Series A,https://entrackr.com/snippets/arkam-leads-rs-575-cr-series-a-round-in-mirana-toys-10812979
https://edgehax.com/,$0.66,24/11/2025,Bengaluru,Manufacturing,,https://entrackr.com/snippets/pontaq-invests-rs-55-cr-in-dweepi-and-edgehax-10807007
https://www.primebook.in/,$0.25,26/11/2025,Delhi,Android laptop brand,,https://entrackr.com/snippets/primebook-raises-250k-extension-round-from-ekamya-capital-10814568
https://arctus.space/,$2.60,26/11/2025,Bengaluru,Aerospace,Pre-Seed,https://entrackr.com/snippets/arctus-aerospace-raises-26-mn-in-pre-seed-round-10813830
https://onyadiamonds.com/,$0.66,26/11/2025,Bengaluru,Lab-grown diamond jewellery,Pre-Seed,https://entrackr.com/snippets/onya-raises-pre-seed-round-led-by-zeropearl-vc-10813520
https://www.finreach.in/,$2.60,24/11/2025,Mumbai,Fintech,,https://entrackr.com/snippets/finreach-raises-rs-219-cr-led-by-colossa-ventures-10806403
https://www.wealthy.in/,$14.50,24/11/2025,Bengaluru,Fintech,Series B,https://entrackr.com/news/wealthy-raises-rs-130-cr-led-by-bertelsmann-india-investments-10806350
http://www.crisprbits.com/,$3.00,25/11/2025,Bengaluru,Biotech,Pre-Series A,https://entrackr.com/snippets/crisprbits-raises-3-mn-led-by-spectrum-impact-10810189
https://riverline.ai/,$0.83,25/11/2025,Bengaluru,Fintech,Pre-Seed,https://entrackr.com/snippets/riverline-ai-raises-825k-in-pre-seed-round-led-by-south-park-commons-10810092
https://www.immunitoai.com/,$6.10,25/11/2025,Bengaluru,Biotech,Series A,https://inc42.com/buzz/immunitoai-bags-6-1-mn-from-pi-ventures-others-to-build-antibodies/
https://www.dweepi.com/,$0.66,24/11/2025,Delhi,Manufacturing,,https://entrackr.com/snippets/pontaq-invests-rs-55-cr-in-dweepi-and-edgehax-10807007
https://www.axitrust.com/,$2.63,26/11/2025,Gurugram,Fintech,Seed,https://entrackr.com/snippets/fintech-startup-axitrust-raises-rs-235-cr-in-seed-round-led-by-general-catalyst-10813938
https://www.neo-group.in/,$25.00,25/11/2025,Mumbai,Fintech,,https://entrackr.com/exclusive/exclusive-neo-raises-25-mn-led-by-crystal-investment-10811424
https://www.neuronenergy.in/,$3.50,27/11/2025,Mumbai,EV Battery,Pre-Series B,https://entrackr.com/snippets/ev-battery-manufacturer-neuron-energy-raises-rs-31-cr-in-pre-series-b-round-10817307
https://www.auxilo.com/,$25.50,27/11/2025,Mumbai,Fintech - NBFC,Debt,https://entrackr.com/exclusive/exclusive-edu-fintech-company-auxilo-raises-rs-225-cr-debt-10816685
http://batterypool.com/,$0.96,27/11/2025,Pune,Battery Tech,Pre-Series A,https://entrackr.com/snippets/batterypool-raises-rs-8-crore-led-by-ipv-10816753
https://www.notion.sowww.yuvrit.in,$0.80,27/11/2025,Bengaluru,Ayurvedic clinic chain,Seed,https://entrackr.com/snippets/yuvrit-ayurveda-raises-800k-in-seed-round-led-by-incubate-fund-asia-10816883
,,,,,,
https://www.squareyards.com/,$35.00,27/11/2025,Gurugram,Real Estate,,https://entrackr.com/news/square-yards-raises-35-mn-at-935-mn-valuation-unicorn-ipo-plans-ahead-10816391
https://www.sportsforlife.in/,$2.58,27/11/2025,Bengaluru,Sports Tech,Series A,https://entrackr.com/snippets/dealshare-co-founders-startup-sports-for-life-raises-rs-2157-cr-in-series-a-10817397