Company,Amount ($M),Series,Sector,HQ,Date,Source
https://cred.club/,$72.00,,Fintech,Bengaluru,09/06/2025,https://entrackr.com/news/cred-raises-72-mn-from-lathe-kunal-shahs-qed-and-others-9349417
http://www.vecmocon.com/,$18.00,Series A,EV,Delhi,09/06/2025,https://entrackr.com/snippets/vecmocon-raises-18-mn-in-series-a-round-led-by-eif-9348232
https://flexiloans.com/,$12.00,Series C,FIntech,Mumbai,12/06/2025,https://entrackr.com/news/flexiloans-raises-rs-375-cr-in-extended-series-c-round-9352911
https://www.wowmomo.com/,$10.00,Debt,QSR Brand,Kolkata,10/06/2025,https://entrackr.com/snippets/wow-momo-raises-rs-85-cr-in-debt-from-stride-ventures-9351425
https://www.powerup.money/,$7.10,,Fintech - Investment,Bengaluru,11/06/2025,https://entrackr.com/snippets/powerup-money-raises-71-mn-from-accel-blume-and-others-9353039
https://www.refyne.co.in/,$4.00,Debt,Fintech,Bengaluru,11/06/2025,https://inc42.com/buzz/exclusive-on-demand-salary-startup-refyne-bags-inr-35-cr-debt/
https://www.flicktv.in/,$2.30,Seed,OTT,Bengaluru,10/06/2025,https://entrackr.com/snippets/flick-tv-raises-23-mn-in-seed-round-led-by-stellaris-ventures-9350145
https://leumasware.com/,$2.20,Seed,Manufacturing,Bengaluru,11/06/2025,https://entrackr.com/snippets/deeptech-manufacturing-startup-leumas-raises-22-mn-in-seed-round-9353444
https://kisah.in/,$1.52,Pre-Series A,Clothing,Kolkata,12/06/2025,https://entrackr.com/snippets/mens-ethnicwear-brand-kisah-secures-rs-13-cr-to-expand-offline-and-d2c-biz-9355545
https://www.machaxi.com/,$1.50,,Sports Tech,Bengaluru,11/06/2025,https://entrackr.com/snippets/machaxi-raises-15-mn-from-rainmatter-prakash-padukone-others-9353316
https://www.plutope.io/,$0.50,Pre-Seed,Fintech,Gurugram,12/06/2025,https://entrackr.com/snippets/defi-startup-plutope-raises-500k-in-pre-seed-round-9357153
https://www.iombio.com/,$0.47,Seed,Biotech,Bengaluru,12/06/2025,https://entrackr.com/snippets/iom-bioworks-raises-rs-4-cr-in-seed-round-led-by-ipv-9356438
https://roomstory.ai/,$0.35,Pre-Seed,Interior Discovery,Gurugram,09/06/2025,https://entrackr.com/snippets/interior-discovery-platform-roomstoryai-raises-pre-seed-round-led-by-rukam-sitara-fund-9347781
https://www.pehlejaisa.com/,$0.30,Pre-Series A,Agritech,Gurugram,13/06/2025,https://entrackr.com/snippets/pehle-jaisa-raises-300k-in-pre-series-a-round-9359940